full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-06-27,20150627,2015,2,Q2,6,June,Jun,2015-06,27,6,Saturday,Sat,26,True,Summer,,False,True
2015-06-28,20150628,2015,2,Q2,6,June,Jun,2015-06,28,7,Sunday,Sun,26,True,Summer,,False,True
2015-06-29,20150629,2015,2,Q2,6,June,Jun,2015-06,29,1,Monday,Mon,27,False,Summer,,False,True
2015-06-30,20150630,2015,2,Q2,6,June,Jun,2015-06,30,2,Tuesday,Tue,27,False,Summer,,False,True
2015-07-01,20150701,2015,3,Q3,7,July,Jul,2015-07,1,3,Wednesday,Wed,27,False,Summer,,False,True
2015-07-02,20150702,2015,3,Q3,7,July,Jul,2015-07,2,4,Thursday,Thu,27,False,Summer,,False,True
2015-07-03,20150703,2015,3,Q3,7,July,Jul,2015-07,3,5,Friday,Fri,27,False,Summer,Independence Day,True,True
2015-07-04,20150704,2015,3,Q3,7,July,Jul,2015-07,4,6,Saturday,Sat,27,True,Summer,,False,True
2015-07-05,20150705,2015,3,Q3,7,July,Jul,2015-07,5,7,Sunday,Sun,27,True,Summer,,False,True
2015-07-06,20150706,2015,3,Q3,7,July,Jul,2015-07,6,1,Monday,Mon,28,False,Summer,,False,True
2015-07-07,20150707,2015,3,Q3,7,July,Jul,2015-07,7,2,Tuesday,Tue,28,False,Summer,,False,True
2015-07-08,20150708,2015,3,Q3,7,July,Jul,2015-07,8,3,Wednesday,Wed,28,False,Summer,,False,True
2015-07-09,20150709,2015,3,Q3,7,July,Jul,2015-07,9,4,Thursday,Thu,28,False,Summer,,False,True
2015-07-10,20150710,2015,3,Q3,7,July,Jul,2015-07,10,5,Friday,Fri,28,False,Summer,,False,True
2015-07-11,20150711,2015,3,Q3,7,July,Jul,2015-07,11,6,Saturday,Sat,28,True,Summer,,False,True
2015-07-12,20150712,2015,3,Q3,7,July,Jul,2015-07,12,7,Sunday,Sun,28,True,Summer,,False,True
2015-07-13,20150713,2015,3,Q3,7,July,Jul,2015-07,13,1,Monday,Mon,29,False,Summer,,False,True
2015-07-14,20150714,2015,3,Q3,7,July,Jul,2015-07,14,2,Tuesday,Tue,29,False,Summer,,False,True
2015-07-15,20150715,2015,3,Q3,7,July,Jul,2015-07,15,3,Wednesday,Wed,29,False,Summer,,False,True
2015-07-16,20150716,2015,3,Q3,7,July,Jul,2015-07,16,4,Thursday,Thu,29,False,Summer,,False,True
2015-07-17,20150717,2015,3,Q3,7,July,Jul,2015-07,17,5,Friday,Fri,29,False,Summer,,False,True
2015-07-18,20150718,2015,3,Q3,7,July,Jul,2015-07,18,6,Saturday,Sat,29,True,Summer,,False,True
2015-07-19,20150719,2015,3,Q3,7,July,Jul,2015-07,19,7,Sunday,Sun,29,True,Summer,,False,True
2015-07-20,20150720,2015,3,Q3,7,July,Jul,2015-07,20,1,Monday,Mon,30,False,Summer,,False,True
2015-07-21,20150721,2015,3,Q3,7,July,Jul,2015-07,21,2,Tuesday,Tue,30,False,Summer,,False,True
2015-07-22,20150722,2015,3,Q3,7,July,Jul,2015-07,22,3,Wednesday,Wed,30,False,Summer,,False,True
2015-07-23,20150723,2015,3,Q3,7,July,Jul,2015-07,23,4,Thursday,Thu,30,False,Summer,,False,True
2015-07-24,20150724,2015,3,Q3,7,July,Jul,2015-07,24,5,Friday,Fri,30,False,Summer,,False,True
2015-07-25,20150725,2015,3,Q3,7,July,Jul,2015-07,25,6,Saturday,Sat,30,True,Summer,,False,True
2015-07-26,20150726,2015,3,Q3,7,July,Jul,2015-07,26,7,Sunday,Sun,30,True,Summer,,False,True
2015-07-27,20150727,2015,3,Q3,7,July,Jul,2015-07,27,1,Monday,Mon,31,False,Summer,,False,True
2015-07-28,20150728,2015,3,Q3,7,July,Jul,2015-07,28,2,Tuesday,Tue,31,False,Summer,,False,True
2015-07-29,20150729,2015,3,Q3,7,July,Jul,2015-07,29,3,Wednesday,Wed,31,False,Summer,,False,True
2015-07-30,20150730,2015,3,Q3,7,July,Jul,2015-07,30,4,Thursday,Thu,31,False,Summer,,False,True
2015-07-31,20150731,2015,3,Q3,7,July,Jul,2015-07,31,5,Friday,Fri,31,False,Summer,,False,True
2015-08-01,20150801,2015,3,Q3,8,August,Aug,2015-08,1,6,Saturday,Sat,31,True,Summer,,False,True
2015-08-02,20150802,2015,3,Q3,8,August,Aug,2015-08,2,7,Sunday,Sun,31,True,Summer,,False,True
2015-08-03,20150803,2015,3,Q3,8,August,Aug,2015-08,3,1,Monday,Mon,32,False,Summer,,False,True
2015-08-04,20150804,2015,3,Q3,8,August,Aug,2015-08,4,2,Tuesday,Tue,32,False,Summer,,False,True
2015-08-05,20150805,2015,3,Q3,8,August,Aug,2015-08,5,3,Wednesday,Wed,32,False,Summer,,False,True
2015-08-06,20150806,2015,3,Q3,8,August,Aug,2015-08,6,4,Thursday,Thu,32,False,Summer,,False,True
2015-08-07,20150807,2015,3,Q3,8,August,Aug,2015-08,7,5,Friday,Fri,32,False,Summer,,False,True
2015-08-08,20150808,2015,3,Q3,8,August,Aug,2015-08,8,6,Saturday,Sat,32,True,Summer,,False,True
2015-08-09,20150809,2015,3,Q3,8,August,Aug,2015-08,9,7,Sunday,Sun,32,True,Summer,,False,True
2015-08-10,20150810,2015,3,Q3,8,August,Aug,2015-08,10,1,Monday,Mon,33,False,Summer,,False,True
2015-08-11,20150811,2015,3,Q3,8,August,Aug,2015-08,11,2,Tuesday,Tue,33,False,Summer,,False,True
2015-08-12,20150812,2015,3,Q3,8,August,Aug,2015-08,12,3,Wednesday,Wed,33,False,Summer,,False,True
2015-08-13,20150813,2015,3,Q3,8,August,Aug,2015-08,13,4,Thursday,Thu,33,False,Summer,,False,True
2015-08-14,20150814,2015,3,Q3,8,August,Aug,2015-08,14,5,Friday,Fri,33,False,Summer,,False,True
2015-08-15,20150815,2015,3,Q3,8,August,Aug,2015-08,15,6,Saturday,Sat,33,True,Summer,,False,True
